kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 68, key = null, value = Test Message #36 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 69, key = null, value = Test Message #38 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 70, key = null, value = Test Message #40 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 71, key = null, value = Test Message #42 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 72, key = null, value = Test Message #44 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 73, key = null, value = Test Message #46 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 74, key = null, value = Test Message #48 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 75, key = null, value = Test Message #50 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 76, key = null, value = Test Message #52 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 77, key = null, value = Test Message #54 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 78, key = null, value = Test Message #56 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 79, key = null, value = Test Message #58 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 80, key = null, value = Test Message #60 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 81, key = null, value = Test Message #62 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 82, key = null, value = Test Message #64 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 83, key = null, value = Test Message #66 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 84, key = null, value = Test Message #68 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 85, key = null, value = Test Message #70 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 86, key = null, value = Test Message #72 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 87, key = null, value = Test Message #74 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 88, key = null, value = Test Message #76 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 89, key = null, value = Test Message #78 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 90, key = null, value = Test Message #80 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 91, key = null, value = Test Message #82 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 92, key = null, value = Test Message #84 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 93, key = null, value = Test Message #86 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 94, key = null, value = Test Message #88 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 95, key = null, value = Test Message #90 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 96, key = null, value = Test Message #92 Filtered
kafkaProject_consumatoriBicicletta.1.g6c2mo78g69x@swarm-2    | topic = topic2, partition = 1, offset = 97, key = null, value = Test Message #94 Filtered
